The Neighbor,2016,5.8,
The Adjustment Bureau,2011,7.1,62.45
The Hollars,2016,6.5,1.02
The Judge,2014,7.4,47.11
Closed Circuit,2013,6.2,5.73
Transformers: Revenge of the Fallen,2009,6,402.08
La tortue rouge,2016,7.6,0.92
The Book of Life,2014,7.3,50.15
Incendies,2010,8.2,6.86
The Heartbreak Kid,2007,5.8,36.77
Happy Feet,2006,6.5,197.99
Entourage,2015,6.6,32.36
The Strangers,2008,6.2,52.53
Noah,2014,5.8,101.16
Neighbors,2014,6.4,150.06
Nymphomaniac: Vol. II,2013,6.7,0.33
Wild,2014,7.1,37.88
Grown Ups,2010,6,162
Blair Witch,2016,5.1,20.75
The Karate Kid,2010,6.2,176.59
Dark Shadows,2012,6.2,79.71
Friends with Benefits,2011,6.6,55.8
The Illusionist,2006,7.6,39.83
The A-Team,2010,6.8,77.21
The Guest,2014,6.7,0.32
The Internship,2013,6.3,44.67
Paul,2011,7,37.37
This Beautiful Fantastic,2016,6.9,
The Da Vinci Code,2006,6.6,217.54
Mr. Church,2016,7.7,0.69
Hugo,2011,7.5,73.82
The Blackcoat's Daughter,2015,5.6,0.02
Body of Lies,2008,7.1,39.38
Knight of Cups,2015,5.7,0.56
The Mummy: Tomb of the Dragon Emperor,2008,5.2,102.18
The Boss,2016,5.4,63.03
Hands of Stone,2016,6.6,4.71
El secreto de sus ojos,2009,8.2,20.17
True Grit,2010,7.6,171.03
We Are Your Friends,2015,6.2,3.59
A Million Ways to Die in the West,2014,6.1,42.62
Only for One Night,2016,4.6,
Rules Don't Apply,2016,5.7,3.65
Ouija: Origin of Evil,2016,6.1,34.9
Percy Jackson: Sea of Monsters,2013,5.9,68.56
Fracture,2007,7.2,39
Oculus,2013,6.5,27.69
In Bruges,2008,7.9,7.76
This Means War,2012,6.3,54.76
Lída Baarová,2016,5,
